Status,Titre,Détails,Auteurs,Publication,Pages,Domaine,Langue,Maison d'édition,Format,Acheté chez,Date de l'ajout,Auteur 1,Etat,Auteur,Genre,Naissance,Mort,Pays,Pays 2,Continent,Country,Code
o,"Islam, L'",Des origines au début de l'Empire ottoman,"Cahen, Claude",1970.0,413,"Histoire, Religion, Islam",Français,Hachette,Papier,Librairie,2014-02-28,"Cahen, Claude",m,"Cahen, Claude",M,1909.0,1991.0,France,,Europe,France,FRA
o,Ascenseur pour l'échafaud,0,"Calef, Noël",1956.0,210,Roman,Français,Livre de Poche,Introuvable,Z-Lib,2014-02-28,"Calef, Noël",m,"Calef, Noël",M,1907.0,1968.0,Bulgarie,France,Europe,Bulgaria,BGR
o,Histoire de l'écriture,0,"Calvet, Louis-Jean",1996.0,296,Linguistique,Français,Hachette,Papier,Librairie,2014-02-28,"Calvet, Louis-Jean",o,"Calvet, Louis-Jean",M,1942.0,,France,,Europe,France,FRA
o,Oeuvres choisies,Préfaces à la Bible; Épître à Sadolet; Petit traité; Traité des reliques; Réformation contre Cathelan,"Calvin, Jean",1543.0,332,"Politique, Religion",Français,Gallimard,Papier,Librairie,2014-02-28,"Calvin, Jean",m,"Calvin, Jean",M,1509.0,1564.0,France,,Europe,France,FRA
0,"città invisibili, Le ",0,"Calvino, Italo",1972.0,164,Roman,Italien,Mondadori,Néant,Néant,2014-02-28,"Calvino, Italo",m,"Calvino, Italo",M,1923.0,1985.0,Italie,,Europe,Italy,ITA
0,Marcovaldo ovvero Le stagioni in citta.,0,"Calvino, Italo",1963.0,134,Roman,Italien,Fastbook,Néant,Néant,2014-02-28,"Calvino, Italo",m,"Calvino, Italo",M,1923.0,1985.0,Italie,,Europe,Italy,ITA
o,Breakfast at Tiffany's,0,"Capote, Truman",1958.0,160,Roman,Anglais,Penguin,Papier,Librairie,2014-02-28,"Capote, Truman",m,"Capote, Truman",M,1924.0,1984.0,États-Unis,,Amérique,United States,USA
0,In Cold Blood,A True Account of A Multiple Murder and Its Consequences,"Capote, Truman",1966.0,352,"Récit, XX siècle, États-Unis",Anglais,Penguin,Néant,Néant,2014-02-28,"Capote, Truman",m,"Capote, Truman",M,1924.0,1984.0,États-Unis,,Amérique,United States,USA
0,"Other Voices, Other Rooms",0,"Capote, Truman",1984.0,0,Roman,Anglais,Aucun,Néant,Néant,2014-02-28,"Capote, Truman",m,"Capote, Truman",M,1924.0,1984.0,États-Unis,,Amérique,United States,USA
o,Catherine II,Un âge d'or pour la Russie,"Carrère d'Encausse, Hélène",2002.0,656,"Biographie, Politique, Russie, XVIII siècle",Français,Hachette,Papier,Librairie,2014-02-28,"Carrère d'Encausse, Hélène",o,"Carrère d'Encausse, Hélène",F,1929.0,,France,,Europe,France,FRA
